id	title	starts	ends	external	organiser_name	organiser_email	address
0	GTN CoFest on Metagenomics Training Material	2018-08-17	2018-08-17		Galaxy Training Network	galaxy-training@lists.galaxyproject.org	
1	2019 Galaxy Admin Training	2019-01-28	2019-02-01		Penn State University	galaxy@informatik.uni-freiburg.de	{"city": "Penn State", "region": "Pennsylvania", "country": "USA"}
2	2019 Galaxy Community Conference (GCC2019)	2019-07-01	2019-07-06	https://galaxyproject.org/events/gcc2019/	Freiburg Galaxy Team	galaxy@informatik.uni-freiburg.de	{"name": "Konzerthaus Freiburg", "street": "Konrad-Adenauer-Platz 1", "postal": 79098, "city": "Freiburg im Breisgau", "region": "Baden-W\u00fcrttemberg", "country": "Germany"}
3	GTN CoFest on Training Material	2019-02-21	2019-02-21		Galaxy Training Network	galaxy-training@lists.galaxyproject.org	
4	Galaxy training workshops Brisbane - April 2019	2019-04-01	2018-04-05		QFAB	training@qfab.org	{"name": "Translational Research Institute (TRI)", "street": "37 Kent St", "city": "Woolloongabba", "region": "Queensland", "country": "Australia"}
5	Galaxy training workshops Melbourne - March 2019	2019-03-21	2018-03-26		Melbourne Bioinformatics	help@genome.edu.au	{"name": "Melbourne Bioinformatics", "street": "187 Grattan St", "city": "Carlton", "region": "Victoria", "country": "Australia"}
6	Galaxy training workshops Brisbane - July - August 2019	2019-07-29	2018-08-02		QFAB	training@qfab.org	{"name": "Translational Research Institute (TRI)", "street": "37 Kent St", "city": "Woolloongabba", "region": "Queensland", "country": "Australia"}
7	Galaxy @ INCOB 2019 - September 08-12, Jakarta, Indonesia.	2019-09-08	2018-09-12		Galaxy Australia	g.price@qfab.org	{"name": "Universitas Yarsi", "street": "Jalan Letjen Suprapto Kav 13. Cempaka Putih.", "city": "Central Jakarta", "country": "Indonesia"}
8	Galaxy training workshops Brisbane - September 2019	2019-09-23	2018-09-27		QFAB	training@qfab.org	{"name": "Translational Research Institute (TRI)", "street": "37 Kent St", "city": "Woolloongabba", "region": "Queensland", "country": "Australia"}
9	WEBINAR: Bionitio - building better bioinformatics tools (with batteries included)	2020-01-20	2020-01-20		Australian Biocommons	training@biocommons.org.au	
